date,item_id,store_id,sales,sell_price
2020-09-19,ITEM_1032,STORE_01,366,10.63
2020-09-20,ITEM_1032,STORE_01,333,11.62
2020-09-21,ITEM_1032,STORE_01,184,11.91
2020-09-22,ITEM_1032,STORE_01,218,11.69
2020-09-23,ITEM_1032,STORE_01,247,10.51
2020-09-24,ITEM_1032,STORE_01,209,12.75
2020-09-25,ITEM_1032,STORE_01,177,11.55
2020-09-26,ITEM_1032,STORE_01,339,11.35
2020-09-27,ITEM_1032,STORE_01,329,11.13
2020-09-28,ITEM_1032,STORE_01,190,12.55
2020-09-29,ITEM_1032,STORE_01,200,11.2
2020-09-30,ITEM_1032,STORE_01,180,11.75
2020-10-01,ITEM_1032,STORE_01,247,10.67
2020-10-02,ITEM_1032,STORE_01,228,12.08
2020-10-03,ITEM_1032,STORE_01,365,12.71
2020-10-04,ITEM_1032,STORE_01,389,11.53
2020-10-05,ITEM_1032,STORE_01,182,10.56
2020-10-06,ITEM_1032,STORE_01,251,11.63
2020-10-07,ITEM_1032,STORE_01,197,11.87
2020-10-08,ITEM_1032,STORE_01,251,11.47
2020-10-09,ITEM_1032,STORE_01,192,12.26
2020-10-10,ITEM_1032,STORE_01,333,11.71
2020-10-11,ITEM_1032,STORE_01,411,10.99
2020-10-12,ITEM_1032,STORE_01,254,12.89
2020-10-13,ITEM_1032,STORE_01,224,12.47
2020-10-14,ITEM_1032,STORE_01,213,12.28
2020-10-15,ITEM_1032,STORE_01,207,12.44
2020-10-16,ITEM_1032,STORE_01,209,12.74
2020-10-17,ITEM_1032,STORE_01,410,11.08
2020-10-18,ITEM_1032,STORE_01,397,10.99
2020-10-19,ITEM_1032,STORE_01,197,11.1
2020-10-20,ITEM_1032,STORE_01,262,11.02
2020-10-21,ITEM_1032,STORE_01,257,12.36
2020-10-22,ITEM_1032,STORE_01,196,12.61
2020-10-23,ITEM_1032,STORE_01,232,11.54
2020-10-24,ITEM_1032,STORE_01,394,11.45
2020-10-25,ITEM_1032,STORE_01,403,11.85
2020-10-26,ITEM_1032,STORE_01,245,11.27
2020-10-27,ITEM_1032,STORE_01,193,12.49
2020-10-28,ITEM_1032,STORE_01,263,10.68
2020-10-29,ITEM_1032,STORE_01,214,11.86
2020-10-30,ITEM_1032,STORE_01,232,12.35
2020-10-31,ITEM_1032,STORE_01,412,11.18
2020-11-01,ITEM_1032,STORE_01,374,11.65
2020-11-02,ITEM_1032,STORE_01,208,12.79
2020-11-03,ITEM_1032,STORE_01,241,10.54
2020-11-04,ITEM_1032,STORE_01,270,11.82
2020-11-05,ITEM_1032,STORE_01,248,12.45
2020-11-06,ITEM_1032,STORE_01,206,11.26
2020-11-07,ITEM_1032,STORE_01,414,10.95
2020-11-08,ITEM_1032,STORE_01,359,10.55
2020-11-09,ITEM_1032,STORE_01,206,10.55
2020-11-10,ITEM_1032,STORE_01,240,11.4
2020-11-11,ITEM_1032,STORE_01,210,11.05
2020-11-12,ITEM_1032,STORE_01,210,11.53
2020-11-13,ITEM_1032,STORE_01,264,10.58
2020-11-14,ITEM_1032,STORE_01,380,11.83
2020-11-15,ITEM_1032,STORE_01,354,10.6
2020-11-16,ITEM_1032,STORE_01,215,11.15
2020-11-17,ITEM_1032,STORE_01,233,11.97
2020-11-18,ITEM_1032,STORE_01,253,12.9
2020-11-19,ITEM_1032,STORE_01,276,12.42
2020-11-20,ITEM_1032,STORE_01,244,10.96
2020-11-21,ITEM_1032,STORE_01,388,10.79
2020-11-22,ITEM_1032,STORE_01,414,11.47
2020-11-23,ITEM_1032,STORE_01,253,12.96
2020-11-24,ITEM_1032,STORE_01,229,12.29
2020-11-25,ITEM_1032,STORE_01,282,12.06
2020-11-26,ITEM_1032,STORE_01,223,11.93
2020-11-27,ITEM_1032,STORE_01,282,11.32
2020-11-28,ITEM_1032,STORE_01,429,11.62
2020-11-29,ITEM_1032,STORE_01,378,11.52
2020-11-30,ITEM_1032,STORE_01,208,10.78
2020-12-01,ITEM_1032,STORE_01,217,12.55
2020-12-02,ITEM_1032,STORE_01,221,11.25
2020-12-03,ITEM_1032,STORE_01,254,12.62
2020-12-04,ITEM_1032,STORE_01,250,12.83
2020-12-05,ITEM_1032,STORE_01,372,12.84
2020-12-06,ITEM_1032,STORE_01,428,11.2
2020-12-07,ITEM_1032,STORE_01,282,11.27
2020-12-08,ITEM_1032,STORE_01,226,12.01
2020-12-09,ITEM_1032,STORE_01,281,12.45
2020-12-10,ITEM_1032,STORE_01,277,11.68
2020-12-11,ITEM_1032,STORE_01,257,12.14
2020-12-12,ITEM_1032,STORE_01,417,12.67
2020-12-13,ITEM_1032,STORE_01,364,10.55
2020-12-14,ITEM_1032,STORE_01,239,12.74
2020-12-15,ITEM_1032,STORE_01,220,11.41
2020-12-16,ITEM_1032,STORE_01,282,10.58
2020-12-17,ITEM_1032,STORE_01,241,11.21
2020-12-18,ITEM_1032,STORE_01,245,12.18
2020-12-19,ITEM_1032,STORE_01,377,11.14
2020-12-20,ITEM_1032,STORE_01,384,10.76
2020-12-21,ITEM_1032,STORE_01,241,11.82
2020-12-22,ITEM_1032,STORE_01,233,11.17
2020-12-23,ITEM_1032,STORE_01,294,10.56
2020-12-24,ITEM_1032,STORE_01,281,10.76
2020-12-25,ITEM_1032,STORE_01,231,10.61
2020-12-26,ITEM_1032,STORE_01,377,10.78
2020-12-27,ITEM_1032,STORE_01,449,11.24
2020-12-28,ITEM_1032,STORE_01,238,10.97
2020-12-29,ITEM_1032,STORE_01,264,12.15
2020-12-30,ITEM_1032,STORE_01,242,10.9
2020-12-31,ITEM_1032,STORE_01,279,11.72
2021-01-01,ITEM_1032,STORE_01,276,12.16
2021-01-02,ITEM_1032,STORE_01,445,11.79
2021-01-03,ITEM_1032,STORE_01,397,10.92
2021-01-04,ITEM_1032,STORE_01,271,11.08
2021-01-05,ITEM_1032,STORE_01,264,11.34
2021-01-06,ITEM_1032,STORE_01,284,12.9
2021-01-07,ITEM_1032,STORE_01,262,11.33
2021-01-08,ITEM_1032,STORE_01,261,12.47
2021-01-09,ITEM_1032,STORE_01,393,12.79
2021-01-10,ITEM_1032,STORE_01,420,11.52
2021-01-11,ITEM_1032,STORE_01,236,12.08
2021-01-12,ITEM_1032,STORE_01,302,11.17
2021-01-13,ITEM_1032,STORE_01,266,11.49
2021-01-14,ITEM_1032,STORE_01,228,11.98
2021-01-15,ITEM_1032,STORE_01,308,10.79
2021-01-16,ITEM_1032,STORE_01,425,11.95
2021-01-17,ITEM_1032,STORE_01,408,11.64
2021-01-18,ITEM_1032,STORE_01,296,12.02
2021-01-19,ITEM_1032,STORE_01,240,11.52
2021-01-20,ITEM_1032,STORE_01,270,11.01
2021-01-21,ITEM_1032,STORE_01,300,10.64
2021-01-22,ITEM_1032,STORE_01,253,11.18
2021-01-23,ITEM_1032,STORE_01,446,10.96
2021-01-24,ITEM_1032,STORE_01,402,12.96
2021-01-25,ITEM_1032,STORE_01,290,11.65
2021-01-26,ITEM_1032,STORE_01,278,11.01
2021-01-27,ITEM_1032,STORE_01,255,11.86
2021-01-28,ITEM_1032,STORE_01,269,12.47
2021-01-29,ITEM_1032,STORE_01,263,11.23
2021-01-30,ITEM_1032,STORE_01,419,11.52
2021-01-31,ITEM_1032,STORE_01,464,11.27
2021-02-01,ITEM_1032,STORE_01,290,12.82
2021-02-02,ITEM_1032,STORE_01,308,12.88
2021-02-03,ITEM_1032,STORE_01,274,11.19
2021-02-04,ITEM_1032,STORE_01,278,11.16
2021-02-05,ITEM_1032,STORE_01,290,11.03
2021-02-06,ITEM_1032,STORE_01,397,11.84
